student_id,region,subject,engagement_level,percentage,app_login_count,video_completion_rate
16056,Africa,Mathematics,Low,26.1,5,26.7
183,South Asia,English,Low,26.5,24,5.9
22225,Africa,Science,Low,29.2,9,5.0
36856,South America,Economics,Low,29.3,9,0.0
32981,South Asia,Science,Low,29.7,14,0.0
7155,South Asia,English,Low,29.9,6,9.6
18602,Africa,Mathematics,Low,29.9,10,20.0
15741,South America,Mathematics,Low,30.6,6,9.7
2077,South Asia,English,Low,31.1,5,0.0
24242,South Asia,Science,Low,31.6,4,2.1
4356,Africa,Mathematics,Low,32.1,4,0.0
18865,Africa,Economics,Low,32.2,3,22.7
20966,Africa,Science,Low,32.2,16,10.2
25472,South America,History,Low,32.4,17,3.6
9393,South Asia,Economics,Low,32.6,14,0.0
35676,South Asia,History,Low,32.7,10,4.7
35281,Africa,Science,Low,32.8,10,11.7
31548,North America,Economics,Low,32.9,13,9.7
21847,South Asia,Mathematics,Low,33.0,11,27.1
492,South America,Mathematics,Low,33.1,9,16.9
18221,Africa,History,Low,33.1,11,0.0
29657,South Asia,Mathematics,Low,33.2,8,14.5
1245,South America,Mathematics,Low,33.3,3,0.0
14539,Africa,Economics,Low,33.3,20,15.5
11060,Africa,Science,Low,33.4,15,15.9
32354,Africa,Mathematics,Low,33.5,6,17.5
26314,South Asia,Science,Low,33.7,10,5.0
38992,South Asia,Mathematics,Low,33.7,7,9.9
15865,Africa,Mathematics,Low,34.0,11,4.9
10176,South Asia,Economics,Low,34.2,11,2.2
16375,Africa,Science,Low,34.2,7,6.0
38974,Africa,English,Low,34.2,5,12.1
5663,South America,Economics,Low,34.3,14,0.0
22639,Africa,Science,Low,34.3,23,0.0
26822,Africa,History,Low,34.3,4,14.7
12727,South Asia,Science,Low,34.4,8,16.1
25903,South Asia,Economics,Low,34.5,18,13.3
6168,Africa,Mathematics,Low,34.7,12,18.8
22575,Africa,Computer Science,Low,34.8,16,22.6
37254,South Asia,Mathematics,Low,34.8,7,25.0
33741,Africa,Mathematics,Low,35.1,17,18.5
39859,South America,Economics,Low,35.1,16,0.0
2268,Africa,History,Low,35.2,7,2.6
7856,Africa,Economics,Low,35.2,13,14.4
16594,Africa,Mathematics,Low,35.2,12,10.8
17375,Africa,Mathematics,Low,35.2,16,15.0
26585,South Asia,Economics,Low,35.2,16,19.4
9297,Africa,Mathematics,Low,35.3,8,6.2
9892,Africa,Mathematics,Low,35.3,7,9.8
12079,Africa,History,Low,35.3,13,11.4
22277,South Asia,Economics,Low,35.3,14,13.1
23322,Africa,Mathematics,Low,35.3,23,12.1
1394,Africa,English,Low,35.5,21,15.0
4005,Africa,Mathematics,Low,35.5,12,7.9
11996,Africa,Mathematics,Low,35.6,18,10.1
1522,Africa,Mathematics,Low,35.7,10,25.2
9445,Africa,Mathematics,Low,35.7,13,12.6
10205,Africa,Mathematics,Low,35.8,21,17.7
17778,Africa,History,Low,35.8,21,18.1
5706,Africa,English,Low,35.9,6,0.0
3143,South Asia,Mathematics,Low,36.1,14,11.6
15966,South America,History,Low,36.1,4,14.6
31974,Africa,English,Low,36.1,11,9.1
35967,South Asia,Science,Low,36.1,12,8.1
9866,Africa,Mathematics,Low,36.2,24,12.0
