Student_ID,Region,Subject,Gender,Grade_Level,Age,App_Login_Count,Video_Completion_Rate,Study_Hours_Per_Week,Assignment_Submission_Rate,Percentage,Engagement_Level
1,North America,Economics,Male,12,18,9,34.5,9.8,48.0,72.5,Medium
2,Africa,Computer Science,Male,11,17,21,30.0,9.3,51.2,73.3,Medium
3,East Asia,Science,Male,9,15,16,19.3,9.1,52.4,75.7,Low
4,South Asia,Economics,Male,9,15,12,27.1,8.8,27.6,63.4,Low
5,South Asia,Economics,Other,11,17,10,8.6,6.6,34.1,41.6,Low
6,South America,Mathematics,Female,11,17,29,21.4,10.9,49.6,60.7,Medium
7,North America,Mathematics,Male,10,16,14,42.2,9.0,65.1,74.2,Medium
8,Africa,Science,Female,11,16,10,5.7,6.9,33.5,48.0,Low
9,Europe,Computer Science,Female,10,16,32,28.8,16.7,48.3,71.4,High
10,North America,History,Male,10,16,21,23.8,3.3,27.7,53.7,Medium
11,East Asia,History,Male,9,14,24,3.2,8.2,34.2,47.5,Low
12,South America,English,Female,12,18,21,44.2,8.4,53.7,71.3,High
13,Africa,English,Female,11,16,13,51.6,8.6,46.9,87.9,High
14,Africa,History,Male,10,16,18,26.7,7.6,58.3,68.4,Medium
15,Africa,Mathematics,Female,11,16,7,27.5,15.9,42.4,62.2,Low
16,Africa,History,Female,11,17,32,38.5,15.1,50.3,76.8,High
17,East Asia,Science,Female,10,16,24,53.7,11.3,49.9,75.6,High
18,North America,Computer Science,Male,9,14,31,34.8,7.2,45.2,81.8,High
19,South America,Science,Female,11,16,26,28.5,3.8,43.5,63.1,Medium
20,South Asia,Mathematics,Male,10,16,14,12.9,13.3,53.9,48.2,Low
21,East Asia,English,Male,10,16,44,30.1,11.7,62.4,77.5,High
22,South Asia,English,Female,10,15,17,46.3,6.1,63.6,73.9,High
23,Europe,History,Male,9,14,32,30.3,5.6,44.3,73.2,High
24,South America,Economics,Male,11,17,17,36.2,10.4,62.6,56.0,Medium
25,Africa,Computer Science,Male,12,18,19,6.1,13.4,44.1,68.2,Low
26,East Asia,English,Male,12,17,33,26.6,13.7,51.5,69.8,High
27,South Asia,Computer Science,Female,9,14,15,22.9,12.4,50.8,62.0,Low
28,Africa,History,Male,12,17,19,47.6,12.4,56.6,59.0,High
29,East Asia,Science,Female,10,16,15,23.4,6.9,33.8,75.0,Low
30,South Asia,Mathematics,Female,9,14,28,50.8,5.8,76.5,73.1,High
31,South Asia,Mathematics,Male,10,16,26,34.1,3.2,36.8,57.7,High
32,Europe,Science,Male,11,16,7,21.0,13.3,25.8,64.0,Low
33,North America,Computer Science,Female,11,16,18,18.0,10.8,37.4,66.4,Low
34,East Asia,English,Female,11,16,33,33.7,7.3,36.1,65.9,High
35,South America,English,Female,10,16,29,12.8,9.9,13.5,70.9,Medium
36,North America,English,Male,11,17,20,27.9,7.2,41.1,77.2,Medium
37,South America,Science,Male,11,17,17,22.7,8.8,41.4,76.8,Low
38,Africa,Computer Science,Male,9,15,26,34.4,12.4,71.2,66.8,High
39,Europe,Mathematics,Male,10,16,21,21.1,14.6,64.2,73.0,Medium
40,East Asia,History,Female,11,16,13,37.5,8.7,37.3,57.0,Medium
41,North America,Economics,Male,11,17,10,29.4,6.2,55.0,73.6,Low
42,Africa,Economics,Male,11,16,7,30.4,4.3,47.4,48.7,Low
43,Africa,English,Female,12,17,21,12.3,9.2,44.9,63.1,Low
44,South Asia,Economics,Male,12,17,16,28.0,0.7,43.2,60.6,Medium
45,North America,Science,Female,10,16,36,62.2,5.6,53.3,87.6,High
46,South America,Science,Male,11,17,40,41.3,8.6,33.7,69.4,High
47,South Asia,English,Female,12,17,37,55.8,7.2,57.0,67.8,High
48,South America,Mathematics,Male,11,17,27,40.8,14.8,48.2,73.7,High
49,Africa,Science,Female,9,15,6,14.4,4.8,47.2,57.9,Low
50,Africa,Economics,Female,10,15,37,30.4,14.7,54.0,82.6,High
51,Africa,Computer Science,Male,11,16,41,35.6,10.2,40.7,78.6,High
52,Europe,Science,Male,9,14,18,49.6,9.1,59.1,84.1,High
53,South Asia,Science,Female,12,17,17,29.9,7.5,46.3,49.0,Medium
54,South Asia,English,Female,12,18,6,19.7,8.3,28.9,48.2,Low
55,South Asia,Mathematics,Male,11,17,7,0.0,11.0,29.9,52.7,Low
56,North America,Mathematics,Female,11,17,23,38.5,10.8,48.4,73.4,High
57,East Asia,Economics,Female,11,17,20,25.1,6.1,48.9,66.8,Medium
58,North America,Computer Science,Male,10,16,32,31.9,13.1,38.9,78.1,High
59,Africa,Computer Science,Female,11,17,29,25.4,4.5,35.8,61.0,Medium
60,Africa,Science,Male,12,17,29,49.6,14.2,46.4,72.0,High
61,South America,Economics,Female,10,15,17,34.5,8.3,50.9,55.1,Medium
62,Africa,Science,Female,10,15,26,27.7,10.1,44.9,69.0,Medium
63,South Asia,Economics,Female,10,15,9,19.7,11.1,39.7,50.4,Low
64,South America,History,Female,11,16,22,34.2,8.5,37.4,67.0,Medium
65,South Asia,Science,Female,12,18,22,29.5,17.9,64.4,71.5,Medium
66,Europe,Computer Science,Male,9,15,10,3.3,0.9,49.8,61.6,Low
67,South America,English,Male,12,18,35,65.4,16.2,58.7,76.5,High
68,South Asia,Science,Male,10,15,9,13.7,10.1,26.3,37.0,Low
69,North America,Computer Science,Male,10,15,27,12.6,9.7,24.0,82.0,Low
70,South Asia,Computer Science,Male,10,16,8,37.3,11.8,42.0,66.9,Medium
71,Africa,History,Female,9,14,24,31.4,1.1,53.0,54.7,Medium
72,Europe,English,Male,12,17,23,41.2,9.8,59.0,68.1,High
73,South Asia,Science,Female,10,16,20,26.1,5.7,59.3,64.8,Medium
74,North America,English,Male,10,15,9,55.5,2.8,56.7,87.2,High
75,Africa,Economics,Male,11,16,26,28.8,10.6,55.2,69.9,Medium
76,South Asia,English,Female,10,15,22,33.1,9.4,59.3,52.6,Medium
